"2008-01","TUGHAN","0","332"
"2008-01","NORTH_POBLACION","0","332"
"2008-01","BINANUAHAN_TABOC","0","1227.4"
"2008-01","SOUTH_POBLACION","0","332"
"2008-01","EMBARCADERO","0","526.25"
"2008-01","CATANAGAN","0","526.25"
"2008-01","COGON","0","1540.25"
"2012-11","TUGHAN","310","444.5"
"2012-11","NORTH_POBLACION","140","3444.5"
"2012-11","BINANUAHAN_TABOC","0","10826.85"
"2012-11","SOUTH_POBLACION","1052","3591.5"
"2012-11","EMBARCADERO","675","4126.5"
"2012-11","CATANAGAN","215","4567.5"
"2012-11","COGON","2250","5263.75"
"2013-01","TUGHAN","170","4015"
"2013-01","NORTH_POBLACION","584","7791"
"2013-01","BINANUAHAN_TABOC","0","11134.8"
"2013-01","SOUTH_POBLACION","29938","11132.5"
"2013-01","EMBARCADERO","445","15186.75"
"2013-01","CATANAGAN","445","17743.75"
"2013-01","COGON","3091","18749.75"
"2012-12","TUGHAN","200","693"
"2012-12","NORTH_POBLACION","0","4501"
"2012-12","BINANUAHAN_TABOC","0","11346.8"
"2012-12","SOUTH_POBLACION","501","4943.75"
"2012-12","EMBARCADERO","230","6874.55"
"2012-12","CATANAGAN","215","7693.55"
"2012-12","COGON","2440","8801.55"
"2012-10","TUGHAN","0","0"
"2012-10","NORTH_POBLACION","0","245"
"2012-10","BINANUAHAN_TABOC","0","385"
"2012-10","SOUTH_POBLACION","385","392"
"2012-10","EMBARCADERO","566","392"
"2012-10","CATANAGAN","0","392"
"2012-10","COGON","0","392"
"2011-06","TUGHAN","0","0"
"2011-06","NORTH_POBLACION","0","0"
"2011-06","BINANUAHAN_TABOC","0","0"
"2011-06","SOUTH_POBLACION","0","0"
"2011-06","EMBARCADERO","0","0"
"2011-06","CATANAGAN","0","700"
"2011-06","COGON","0","700"
"2011-09","TUGHAN","0","0"
"2011-09","NORTH_POBLACION","0","0"
"2011-09","BINANUAHAN_TABOC","0","0"
"2011-09","SOUTH_POBLACION","0","0"
"2011-09","EMBARCADERO","0","0"
"2011-09","CATANAGAN","0","380.35"
"2011-09","COGON","0","380.35"
"2011-10","TUGHAN","0","0"
"2011-10","NORTH_POBLACION","0","0"
"2011-10","BINANUAHAN_TABOC","0","0"
"2011-10","SOUTH_POBLACION","0","0"
"2011-10","EMBARCADERO","0","0"
"2011-10","CATANAGAN","0","411.85"
"2011-10","COGON","0","411.85"
"2009-05","TUGHAN","0","0"
"2009-05","NORTH_POBLACION","0","0"
"2009-05","BINANUAHAN_TABOC","0","0"
"2009-05","SOUTH_POBLACION","0","0"
"2009-05","EMBARCADERO","0","0"
"2009-05","CATANAGAN","0","0"
"2009-05","COGON","0","0"
"2011-11","TUGHAN","0","0"
"2011-11","NORTH_POBLACION","0","0"
"2011-11","BINANUAHAN_TABOC","0","0"
"2011-11","SOUTH_POBLACION","0","0"
"2011-11","EMBARCADERO","0","0"
"2011-11","CATANAGAN","0","490.35"
"2011-11","COGON","0","490.35"
"2012-03","TUGHAN","0","0"
"2012-03","NORTH_POBLACION","0","0"
"2012-03","BINANUAHAN_TABOC","0","0"
"2012-03","SOUTH_POBLACION","0","0"
"2012-03","EMBARCADERO","0","0"
"2012-03","CATANAGAN","0","438.9"
"2012-03","COGON","0","438.9"
"2012-04","TUGHAN","0","0"
"2012-04","NORTH_POBLACION","0","0"
"2012-04","BINANUAHAN_TABOC","0","0"
"2012-04","SOUTH_POBLACION","0","0"
"2012-04","EMBARCADERO","0","0"
"2012-04","CATANAGAN","0","260"
"2012-04","COGON","0","260"
"2008-05","TUGHAN","0","0"
"2008-05","NORTH_POBLACION","0","0"
"2008-05","BINANUAHAN_TABOC","0","0"
"2008-05","SOUTH_POBLACION","0","0"
"2008-05","EMBARCADERO","0","0"
"2008-05","CATANAGAN","0","0"
"2008-05","COGON","0","0"
"2013-06","TUGHAN","760","24073.57"
"2013-06","NORTH_POBLACION","1627","44811.41"
"2013-06","BINANUAHAN_TABOC","0","140"
"2013-06","SOUTH_POBLACION","4306","130332.48"
"2013-06","EMBARCADERO","1299","147238.08"
"2013-06","CATANAGAN","2831.41","162016.98"
"2013-06","COGON","1782","215710.09"
"2013-02","TUGHAN","140","10096.75"
"2013-02","NORTH_POBLACION","1170","23441.2"
"2013-02","BINANUAHAN_TABOC","0","9076.95"
"2013-02","SOUTH_POBLACION","1348","41049.65"
"2013-02","EMBARCADERO","998","48457.76"
"2013-02","CATANAGAN","385","51731.26"
"2013-02","COGON","804","72829.76"
"2012-01","TUGHAN","0","0"
"2012-01","NORTH_POBLACION","0","668.85"
"2012-01","BINANUAHAN_TABOC","0","1818.35"
"2012-01","SOUTH_POBLACION","0","668.85"
"2012-01","EMBARCADERO","0","668.85"
"2012-01","CATANAGAN","0","668.85"
"2012-01","COGON","0","668.85"
"2013-11","TUGHAN","0","0"
"2013-11","NORTH_POBLACION","0","0"
"2013-11","BINANUAHAN_TABOC","0","0"
"2013-11","SOUTH_POBLACION","0","0"
"2013-11","EMBARCADERO","0","225.75"
"2013-11","CATANAGAN","0","225.75"
"2013-11","COGON","0","225.75"
"2013-10","TUGHAN","0","6491.55"
"2013-10","NORTH_POBLACION","0","15302.68"
"2013-10","BINANUAHAN_TABOC","0","526.5"
"2013-10","SOUTH_POBLACION","0","24266.53"
"2013-10","EMBARCADERO","0","27841.83"
"2013-10","CATANAGAN","0","29389.93"
"2013-10","COGON","0","36957.16"
"2012-02","TUGHAN","0","0"
"2012-02","NORTH_POBLACION","0","0"
"2012-02","BINANUAHAN_TABOC","0","200"
"2012-02","SOUTH_POBLACION","0","0"
"2012-02","EMBARCADERO","0","0"
"2012-02","CATANAGAN","0","0"
"2012-02","COGON","0","0"
"2009-02","TUGHAN","0","0"
"2009-02","NORTH_POBLACION","0","0"
"2009-02","BINANUAHAN_TABOC","0","0"
"2009-02","SOUTH_POBLACION","0","0"
"2009-02","EMBARCADERO","0","0"
"2009-02","CATANAGAN","0","0"
"2009-02","COGON","0","0"
"2010-02","TUGHAN","0","0"
"2010-02","NORTH_POBLACION","0","0"
"2010-02","BINANUAHAN_TABOC","0","0"
"2010-02","SOUTH_POBLACION","0","0"
"2010-02","EMBARCADERO","0","0"
"2010-02","CATANAGAN","0","0"
"2010-02","COGON","0","0"
"2013-03","TUGHAN","140","16355.49"
"2013-03","NORTH_POBLACION","215","37158.74"
"2013-03","BINANUAHAN_TABOC","0","194.25"
"2013-03","SOUTH_POBLACION","0","47043.24"
"2013-03","EMBARCADERO","1098","60113.02"
"2013-03","CATANAGAN","322","62339.37"
"2013-03","COGON","0","70020.77"
"2008-01","BERIRAN","0","1540.25"
"2012-12","BERIRAN","560","11827.55"
"3013-01","TUGHAN","0","0"
"3013-01","NORTH_POBLACION","0","561.75"
"3013-01","BINANUAHAN_TABOC","0","561.75"
"3013-01","SOUTH_POBLACION","0","561.75"
"3013-01","EMBARCADERO","0","561.75"
"3013-01","CATANAGAN","0","561.75"
"3013-01","COGON","0","561.75"
"2008-01","BINANUAHAN","0","332"
"2008-01","TABOC","0","1540.25"
"2012-11","BINANUAHAN","140","3591.5"
"2012-11","TABOC","185","5263.75"
"2013-01","BINANUAHAN","280","8505"
"2013-01","TABOC","140","22862.6"
"2012-10","BINANUAHAN","215","392"
"2012-10","TABOC","0","392"
"2012-12","BINANUAHAN","140","4943.75"
"2012-12","TABOC","245","11442.55"
"2011-06","BINANUAHAN","0","0"
"2011-06","TABOC","0","700"
"2011-09","BINANUAHAN","0","0"
"2011-09","TABOC","0","380.35"
"2011-10","BINANUAHAN","0","0"
"2011-10","TABOC","0","411.85"
"2009-05","BINANUAHAN","0","0"
"2009-05","TABOC","0","0"
"2011-11","BINANUAHAN","0","0"
"2011-11","TABOC","0","490.35"
"2012-03","BINANUAHAN","0","0"
"2012-03","TABOC","0","438.9"
"2012-04","BINANUAHAN","0","0"
"2012-04","TABOC","0","260"
"2008-05","BINANUAHAN","0","0"
"2008-05","TABOC","0","0"
"2013-06","BINANUAHAN","1264","109671.06"
"2013-06","TABOC","2622","237013.39"
"2013-02","BINANUAHAN","140","29753.2"
"2013-02","TABOC","290","79357.26"
"2012-01","BINANUAHAN","0","668.85"
"2012-01","TABOC","0","1492.85"
"2013-11","BINANUAHAN","0","0"
"2013-11","TABOC","0","515.75"
"2013-10","BINANUAHAN","0","24266.53"
"2013-10","TABOC","0","47036.21"
"2012-02","BINANUAHAN","0","0"
"2012-02","TABOC","0","200"
"2013-03","BINANUAHAN","280","47043.24"
"2013-03","TABOC","0","79811.57"
"3013-01","BINANUAHAN","0","561.75"
"3013-01","TABOC","0","561.75"
"2013-05","TUGHAN","295","34256.25"
"2013-05","NORTH_POBLACION","585","56412.95"
"2013-05","BINANUAHAN","1001","68908.4"
"2013-05","SOUTH_POBLACION","0","68908.4"
"2013-05","EMBARCADERO","2159","81229.33"
"2013-05","CATANAGAN","450","84209.93"
"2013-05","COGON","354","96733.03"
"2013-05","TABOC","960","113465.83"
"2013-07","TUGHAN","7430","76576.16"
"2013-07","NORTH_POBLACION","5949","136706.05"
"2013-07","BINANUAHAN","5009","166145.85"
"2013-07","SOUTH_POBLACION","0","166145.85"
"2013-07","EMBARCADERO","7852","206879.83"
"2013-07","CATANAGAN","1050","208232.33"
"2013-07","COGON","3338","227826.56"
"2013-07","TABOC","5157","261631.41"
"2013-08","TUGHAN","14738","41201.9"
"2013-08","NORTH_POBLACION","12279.04","69562.86"
"2013-08","BINANUAHAN","9079","96671.26"
"2013-08","SOUTH_POBLACION","0","96671.26"
"2013-08","EMBARCADERO","11333","128627.66"
"2013-08","CATANAGAN","2227","132462.61"
"2013-08","COGON","5400","145474.52"
"2013-08","TABOC","9425","167705.17"
"2013-04","TUGHAN","140","25139.95"
"2013-04","NORTH_POBLACION","140","46300.78"
"2013-04","BINANUAHAN","695","58188.58"
"2013-04","SOUTH_POBLACION","0","58188.58"
"2013-04","EMBARCADERO","1605","399822.59"
"2013-04","CATANAGAN","467","400828.09"
"2013-04","COGON","370","410415.74"
"2013-04","TABOC","9018","422176.69"
"2013-09","TUGHAN","36100","35551.38"
"2013-09","NORTH_POBLACION","21647","67673.97"
"2013-09","BINANUAHAN","14422","78936.57"
"2013-09","SOUTH_POBLACION","0","78936.57"
"2013-09","EMBARCADERO","21507","109191.82"
"2013-09","CATANAGAN","1476","110486.92"
"2013-09","COGON","7852","133245.57"
"2013-09","TABOC","13183","155339.47"
"2016-06","TUGHAN","0","185"
"2016-06","NORTH_POBLACION","0","185"
"2016-06","BINANUAHAN","0","185"
"2016-06","SOUTH_POBLACION","0","185"
"2016-06","EMBARCADERO","0","185"
"2016-06","CATANAGAN","0","185"
"2016-06","COGON","0","185"
"2016-06","TABOC","0","185"
"2012-11","BERIRAN","280","5263.75"
"2013-01","BERIRAN","700","23443.6"
"2011-06","BERIRAN","0","700"
"2011-09","BERIRAN","0","380.35"
"2011-10","BERIRAN","0","411.85"
"2009-05","BERIRAN","0","0"
"2012-10","BERIRAN","340","392"
"2008-05","BERIRAN","0","0"
"2013-06","BERIRAN","3025","244545.04"
"2013-02","BERIRAN","700","80971.26"
"2013-11","BERIRAN","0","515.75"
"2013-10","BERIRAN","0","47036.21"
"2012-01","BERIRAN","0","1492.85"
"2012-02","BERIRAN","0","200"
"2013-03","BERIRAN","0","79811.57"
"3013-01","BERIRAN","0","561.75"
"2013-05","BERIRAN","0","113465.83"
"2013-07","BERIRAN","0","261631.41"
"2013-04","BERIRAN","0","422176.69"
"2013-08","BERIRAN","0","167705.17"
"2013-09","BERIRAN","0","155339.47"
"2016-06","BERIRAN","0","185"
